instancia,tipo_sede,alcaldia,sede,calle,numero_exterior,numero_interior,colonia,colonia_servicio_postal_mexicano,codigo_postal_servicio_postal_mexicano,referencia_de_ubicacion,latitud,longitud,dias_atencion,horario_ini,horario_fin,telefono_uno,telefono_dos,telefono_tres,telefono_cuatro
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,AZCAPOTZALCO,Módulo Abogadas de las Mujeres AZC 1 Y 3,Avenida De las Culturas y Eje 5 Norte,S/N,S/N,El Rosario,El Rosario,02120,En el interior de la Agencia del Ministerio Público,19.510251,-99.190692,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,IZTAPALAPA,Módulo Abogadas de las Mujeres IZP 2,Avenida Ermita Iztapalapa y Callejón de Circunvalación,S/N,S/N,Barrio Santa Bárbara,Barrio Santa Bárbara,09000,En el interior de la Agencia del Ministerio Público,19.356413,-99.10662,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,IZTAPALAPA,Módulo Abogadas de las Mujeres IZP 9 Y 10,Avenida Ermita Iztapalapa y Zacatepec,S/N,S/N,Paraje Zacatepec,Paraje Zacatepec,09560,En el interior de la Agencia del Ministerio Público,19.353424,-99.013309,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,GUSTAVO A. MADERO,Gustavo A. Madero - Nahui Olín - La Villa,Avenida Fray Juan de Zumárraga,S/N,S/N,Aragón La Villa,Aragón La Villa,07050,"Esquina con Aquiles Serdán, C.P. 07050",19.483413,-99.117027,Lunes a Viernes De 09:00 a 17:00 <br><br> Sábados:<br> Atención de primera vez y Asesoría jurídica.,09:00:00,15:00:00,5557814339,5589147707,5589147702,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,MILPA ALTA,Módulo Abogadas de las Mujeres MIL 1,Avenida Jalisco esquina Avenida México,S/N,S/N,Villa Milpa Alta,Villa Milpa Alta,12000,En el interior de la Agencia del Ministerio Público,19.191986,-99.024217,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,MIGUEL HIDALGO,Miguel Hidalgo - Frida Kahlo - Observatorio,Avenida Observatorio,S/N,S/N,Daniel Garza.,Daniel Garza.,11830,"Esquina General José María Mendivil, C.P. 11830",19.402676,-99.199262,Lunes a Viernes De 09:00 a 17:00 <br><br> Sábados:<br> Atención de primera vez y Asesoría jurídica.,09:00:00,15:00:00,5517156328,5517156318,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,MIGUEL HIDALGO,Miguel Hidalgo - Frida Kahlo - Parque Lira (En remodelación),Avenida Parque Lira,128,S/N,Ampliación Daniel Garza.,Ampliación Daniel Garza.,11840,C.P. 11800,19.405702,-99.188785,En remodelación. Sin atención por el momento,09:00:00,17:00:00,5552722630,5591347709,5526142564,NA
SECRETARÍA  DE LAS MUJERES,LUNA,MILPA ALTA,Milpa Alta - Cihual In Calli - Calmecac,Avenida Puebla,250,S/N,Villa Milpa Alta Centro,Villa Milpa Alta Centro,12000,"Esquina Calle Constitución (arriba del mercado Benito Juárez), C.P. 12000",19.191124,-99.021452,Lunes a Viernes De 09:00 a 17:00 <br><br> Sábados:<br> Atención de primera vez y Asesoría jurídica.,09:00:00,15:00:00,5525807821,5515491500,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO DE ATENCIÓN VIAJA SEGURA,BENITO JUAREZ,Módulo de Atención Viaja Segura Mixcoac,Avenida Revolución y Eje 7 Sur Extremadura y Benvenuto Cellin,S/N,linea 12 dentro del pasillo de las oficinas de metro,Insurgentes Mixcoac,Insurgentes Mixcoac,03920,En el interior de la Estación del Metro Mixcoac línea 12,19.375309,-99.186792,Lunes a Viernes,08:00:00,16:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,COYOACAN,Coyoacán - Tina Modotti - Huayamilpas,Avenida Rey Nezahualcóyotl,S/N,S/N,Ajusco Huayamilpas,Ajusco Huayamilpas,04390,"Esquina Yaquis al interior del parque ecológico huayamilpas, C.P. 04300",19.323106,-99.150349,Lunes a Viernes,09:00:00,17:00:00,5591300793,5517357469,5517357467,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,IZTAPALAPA,Módulo Abogadas de las Mujeres IZP 3,Avenida Rio Churubusco esquina Hualquila,S/N,Interior central de Abastos,Central De Abastos,Central De Abastos,09040,En el interior de la Agencia del Ministerio Público,19.373475,-99.096016,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,LA MAGDALENA CONTRERAS,Módulo Abogadas de las Mujeres MC 1,Avenida San Jéronimo esquina Soledad,2625,S/N,Ampliación Potrerillo,Ampliación Potrerillo,10368,En el interior de la Agencia del Ministerio Público,19.309895,-99.259451,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,IZTACALCO,Iztacalco - Coatlicue - Santiago,Avenida Santiago,S/N,S/N,Barrio Santiago Sur,Barrio Santiago Sur,08800,"Esquina Playa Rosarito, dentro del centro social Josefina Díaz, C.P. 08800",19.390466,-99.12542,Lunes a Viernes,09:00:00,17:00:00,5555797382,5511049226,5520632369,NA
SECRETARÍA  DE LAS MUJERES,LUNA,IZTACALCO,Iztacalco - Coatlicue -  Agrícola Oriental,Avenida Sur 8,S/N,S/N,Agrícola Oriental,Agrícola Oriental,08500,"Casi esquina con Av. Javier Rojo Gómez, (atrás del deportivo Leandro Valle), C.P. 08500",19.400197,-99.073393,Lunes a Viernes De 09:00 a 17:00 <br><br> Sábados:<br> Atención de primera vez.,09:00:00,15:00:00,5521554430,5522354614,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,ALVARO OBREGON,Módulo Abogadas de las Mujeres AO 3 Y 4,Avenida Toluca,10,S/N,Progreso Tizapan,Progreso Tizapan,01080,En el interior de la Agencia del Ministerio Público,19.339869,-99.201639,Lunes a Domingo,08:00:00,21:00:00,5555122836,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,MILPA ALTA,Milpa Alta - Cihual In Calli - Mercado,Avenida Yucatán Sur,S/N,S/N,Villa Milpa Alta Centro,Villa Milpa Alta Centro,12000,"Interior de la Casa de Cultura CALMECAC, C.P. 12000",19.198115,-99.031066,Lunes a Viernes,09:00:00,17:00:00,5558446148,5515491512,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,AZCAPOTZALCO,Módulo Abogadas de las Mujeres AZC 2 Y 4,Avenida22 de febrero esquina Castilla Oriente,S/N,S/N,Del Maestro,Del Maestro,02040,En el interior de la Agencia del Ministerio Público,19.483823,-99.182736,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,IZTAPALAPA,Módulo Abogadas de las Mujeres IZP 1 Y 4,Avenida 5 de Mayo y Callejón Victoria,S/N,S/N,Barrio San Lucas,Barrio San Lucas,09000,En el interior de la Agencia del Ministerio Público,19.361133,-99.093631,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO DE ATENCIÓN VIAJA SEGURA,CUAUHTEMOC,Módulo de Atención Viaja Segura Balderas,Avenida Arcos de Belén  y avenida Niños Héroes,S/N,pasillo linea 3 salida hacia Arcos de Belem,Doctores,Doctores,06720,En el interior de la Estación del Metro Balderas a un lado del Módulo de Atención al usuario del STC,19.427045,-99.148779,Lunes a Viernes,08:00:00,16:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,IZTACALCO,Módulo Abogadas de las Mujeres IZC 1,Avenida Congreso de la Unión y Canal Nacional,S/N,S/N,Santa Anita,Santa Anita,08300,En el interior de la Agencia del Ministerio Público,19.403015,-99.121323,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,BENITO JUAREZ,Módulo Abogadas de las Mujeres BJ 3 Y 4,Avenida Cuauhtémoc esquina Obrero Mundial,S/N,S/N,Narvarte,Narvarte,03020,En el interior de la Agencia del Ministerio Público,19.401592,-99.155272,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,BENITO JUAREZ,Módulo Abogadas de las Mujeres BJ 1 Y 2,Avenida División del Norte,1611,S/N,Santa Cruz Atoyac,Santa Cruz Atoyac,03310,En el interior de la Agencia del Ministerio Público,19.372604,-99.157919,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO DE ATENCIÓN VIAJA SEGURA,CUAUHTEMOC,Módulo de Atención Viaja Segura Pino Suárez,Avenida José María Izazaga y Pino Suárez,S/N,pasillo de correspondencia linea 1 hacia linea 2,Centro,Centro,06080,En el interior de la Estación del Metro Pino Suárez frente a la Pirámide.,19.425313,-99.13276,Lunes a Viernes,08:00:00,16:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,CUAUHTEMOC,Módulo Abogadas de las Mujeres para Trámite de Medidas de Protección,Avenida Morelos,20,primer piso,Centro,Centro,06000,Primer piso de las Oficinas Centrales de la SEMUJERES,19.432127,-99.148883,Lunes a Domingo,00:00:00,23:59:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,IZTACALCO,Módulo Abogadas de las Mujeres IZC 2 Y 3,"Avenida Té, esquina Sur 157",S/N,S/N,Gabriel Ramos Millán,Gabriel Ramos Millán,08730,En el interior de la Agencia del Ministerio Público,19.396241,-99.095158,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,ALVARO OBREGON,Módulo Abogadas de las Mujeres FDS2,"Avenida Toluca, esquina Avenida México",S/N,S/N,Progreso,Progreso,01080,En el interior de la Agencia del Ministerio Público,19.339796,-99.201587,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,IZTAPALAPA,Módulo Abogadas de las Mujeres IZP 8,Avenida Zacatlán,Mz 4,Lt 20,Lomas De San Lorenzo,Lomas De San Lorenzo,09780,En el interior de la Agencia del Ministerio Público,19.313004,-99.064478,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,ALVARO OBREGON,Módulo Abogadas de las Mujeres AO 1 Y 2,Batallón de San Patricio y Escuadrón 201,S/N,S/N,Cristo Rey,Cristo Rey,01150,En el interior de la Agencia del Ministerio Público,19.389541,-99.200551,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,VENUSTIANO CARRANZA,Módulo Abogadas de las Mujeres VC2,Bulevar Puerto Aéreo esquina norte 13,S/N,S/N,Moctezuma 2da. Sección,Moctezuma 2da. Sección,15530,En el interior de la Agencia del Ministerio Público,19.425822,-99.093464,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,ALVARO OBREGON,Álvaro Obregón - Alaíde Foppa - Preconcreto,Calle 22,S/N,S/N,Preconcreto,Preconcreto,01400,"Esq. Calle 17, C.P. 1400",19.374368,-99.211042,Lunes a Viernes De 09:00 a 17:00 <br><br> Sábados:<br> Atención de primera vez y Asesoría jurídica.,09:00:00,15:00:00,5518577510,5558016556,5518577513,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,IZTAPALAPA,Módulo Abogadas de las Mujeres IZP 6,Calle 3 y Avenida Telecomunicaciones,S/N,S/N,Tepalcates,Tepalcates,09210,En el interior de la Agencia del Ministerio Público,19.381703,-99.041574,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO DE ATENCIÓN VIAJA SEGURA,CUAUHTEMOC,Módulo de Atención Viaja Segura Hidalgo,Calle Balderas esquina  Paseo a la Reforma (Cinemas Cine México),S/N,pasillo de salida linea 2 hacia avenida rosales,Centro,Centro,06000,"En el interior de la Estación del Metro Hidalgo, en el interior de la Agencia del Ministerio Público",19.43669,-99.147188,Lunes a Viernes,08:00:00,16:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,CUAUHTEMOC,Cuauhtémoc - Juana de Asbaje - Alcaldía,Calle Mina y Juan Aldama,S/N,S/N,Buenavista.,Buenavista.,06350,"Esquina con Juan Aldama, Sótano Edificio de la Alcaldía,C.P. 06350",19.441077,-99.151789,Lunes a Viernes De 09:00 a 17:00 <br><br> Sábados:<br> Atención de primera vez y Asesoría jurídica.,09:00:00,15:00:00,5591315945,NA,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,LA MAGDALENA CONTRERAS,Magdalena Contreras - Cristina Pacheco,Calle Piaztic,S/N,S/N,San José Atacaxco,San José Atacaxco,10378,"Centro Social Atacaxco (frente a secundaria No. 262), C.P. 10378",19.31531,-99.24854,Lunes a Viernes De 09:00 a 17:00 <br><br> Sábados:<br> Atención de primera vez y Asesoría jurídica.,09:00:00,15:00:00,5550853852,5550083851,5550853832,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,TLALPAN,Módulo Abogadas de las Mujeres TLP 4,Calle Tetenco,9,S/N,San Miguel Topilejo,San Miguel Topilejo,14500,Dentro Sector SSC de Topilejo,19.197839,-99.144087,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,GUSTAVO A. MADERO,Gustavo A. Madero - Nahui Olín - La Joyita,Camellón de Oriente 95 y Norte 50,S/N,S/N,La Joyita,La Joyita,07860,C.P. 07860,19.464081,-99.117614,Lunes a Viernes,09:00:00,17:00:00,5550351300,5557595030,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,TLALPAN,Tlalpan - Yaocíhuatl - Santa Úrsula,Camino a Santa Úrsula,24,S/N,Santa Úrsula Xitla.,Santa Úrsula Xitla.,14420,"Esquina Textitlán, C.P. 14420",19.280981,-99.178162,Lunes a Viernes,09:00:00,17:00:00,5517076591,NA,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,IZTAPALAPA,Iztapalapa - Elena Poniatowska,Camino Cerro de la Estrella,S/N,S/N,El Santuario,El Santuario,09820,"Centro Social Villa Estrella, Módulo 4, C.P. 09009",19.351692,-99.091936,Lunes a Viernes De 09:00 a 17:00 <br><br> Sábados:<br> Atención de primera vez y Asesoría jurídica.,09:00:00,15:00:00,5591310545,5522361593,5522361595,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,IZTAPALAPA,Módulo Abogadas de las Mujeres IZP 5,Campaña del Ébano y Revolución Social,S/N,S/N,Vicente Guerrero,Vicente Guerrero,09200,En el interior de la Agencia del Ministerio Público,19.35336,-99.053922,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,COYOACAN,Módulo Abogadas de las Mujeres COY 5,Candelaria Pérez y Laura Méndez de Cuenca,S/N,S/N,Ctm-Culhuacán,Ctm-Culhuacán,04480,En el interior de la Agencia del Ministerio Público,19.319539,-99.100917,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,TLALPAN,Tlalpan - Yaocíhuatl - La Joya,Carretera Federal a Cuernavaca,2,S/N,La Joya,La Joya,14090,C.P. 14090,19.278027,-99.167431,Lunes a Viernes De 09:00 a 17:00 <br><br> Sábados:<br> Atención de primera vez.,09:00:00,15:00:00,5517076599,NA,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,TLALPAN,Módulo Abogadas de las Mujeres TLP 1,Carretera Panorámica al Ajusco,KM 5.5,S/N,Ampliación Miguel Hidalgo,Ampliación Miguel Hidalgo,14250,En el interior de la Agencia del Ministerio Público,19.271351,-99.20588,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,CUAJIMALPA DE MORELOS,Módulo Abogadas de las Mujeres CUJ 1 Y 2,Cerrada de Ramírez y Castillo Ledon,S/N,S/N,Cuajimalpa Centro,Cuajimalpa Centro,05000,En el interior de la Agencia del Ministerio Público,19.357668,-99.298283,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,GUSTAVO A. MADERO,Módulo Abogadas de las Mujeres GAM 3,Cerrada Sur de los 100 metros,S/N,S/N,Nueva Vallejo,Nueva Vallejo,07750,En el interior de la Agencia del Ministerio Público,19.484404,-99.144854,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,GUSTAVO A. MADERO,Módulo Abogadas de las Mujeres FDS4,"Cerrada Sur de los Cien Metros, esquina Eje Central",S/N,S/N,Nueva Vallejo,Nueva Vallejo,07750,En el interior de la Agencia del Ministerio Público,19.484394,-99.145026,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,COYOACAN,Módulo Abogadas de las Mujeres COY 4,Chichimecas y Rey Tepalcanzin,S/N,S/N,Ajusco,Ajusco,04300,En el interior de la Agencia del Ministerio Público,19.319735,-99.158908,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,CUAUHTEMOC,Módulo Abogadas de las Mujeres CUH 8,Chimalpopoca,100,S/N,Obrera,Obrera,06010,En el interior de la Agencia del Ministerio Público,19.422868,-99.137207,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO ABOGADAS DE LAS MUJERES,XOCHIMILCO,Módulo Abogadas de las Mujeres XO 1,Circuito Martínez  de Castro,S/N,S/N,San Mateo Jalpa,San Mateo Jalpa,16800,En el interior de la Agencia del Ministerio Público,19.236456,-99.127478,Lunes a Domingo,08:00:00,21:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,XOCHIMILCO,Xochimilco - Laureana Wright González - San Cristóbal,Dalia,S/N,S/N,Barrio San Cristóbal,Barrio San Cristóbal,16080,"Plaza San Cristobal, C.P. 16080",19.261856,-99.105266,Lunes a Viernes De 09:00 a 17:00 <br><br> Sábados:<br> Asesoría jurídica.,09:00:00,15:00:00,5551616504,5522085571,5522085569,NA
SECRETARÍA  DE LAS MUJERES,MÓDULO DE ATENCIÓN VIAJA SEGURA,IZTACALCO,Módulo de Atención Viaja Segura Pantitlán,Eje 1 Norte Miguel Lebrija (acceso a STC linea 1),S/N,linea 1 pasillo de salida hacia CETRAM antes de los torniquetes,Col. Agrícola Pantitlán Y Adolfo López Mateos,Col. Agrícola Pantitlán Y Adolfo López Mateos,15690,"En el interior de la Estación del Metro Pantitlán, frente a torniquetes",19.414818,-99.072017,Lunes a Viernes,08:00:00,16:00:00,55122772,22122836,NA,NA
SECRETARÍA  DE LAS MUJERES,LUNA,BENITO JUAREZ,Benito Juárez - Benita Galeana - Eje 5 Sur,Eje 5 Sur Ramos Millán,95,S/N,Niños Héroes,Niños Héroes,03440,C.P. 03440,19.383468,-99.143634,Lunes a Viernes,09:00:00,17:00:00,5521244929,5515435988,5515435944,NA
SECRETARÍA  DE LAS MUJERES,LUNA,BENITO JUAREZ,Benito Juárez -Benita Galeana - Eje Central,Eje Central Lázaro Cárdenas,695,Piso 1,Narvarte Poniente,Narvarte Poniente,03020,C.P. 03020,19.39089,-99.146823,Lunes a Viernes De 09:00 a 17:00 <br><br> Sábados:<br> Asesoría jurídica.,09:00:00,15:00:00,5591800495,5555790206,5551600039,NA
